110,Martell Webster,SF,27,WAS,49,13,29.6,3.7,8.3,.444,2.1,5.3,.401,1.6,3.0,.521,1.4,1.7,.852,0.5,2.9,3.4,1.4,0.6,0.2,0.8,2.0,10.9
111,Kobe Bryant,SG,35,LAL,6,6,29.5,5.2,12.2,.425,0.5,2.7,.188,4.7,9.5,.491,3.0,3.5,.857,0.3,4.0,4.3,6.3,1.2,0.2,5.7,1.5,13.8
112,Taj Gibson,PF,28,CHI,51,8,29.4,5.2,10.7,.484,0.0,0.1,.000,5.2,10.6,.488,2.5,3.4,.726,2.3,4.4,6.6,1.2,0.5,1.5,1.9,2.6,12.8
113,Mike Dunleavy,SF,33,CHI,51,30,29.4,4.1,9.3,.439,1.4,3.8,.378,2.6,5.5,.480,1.5,1.8,.806,0.5,3.4,3.9,2.1,0.8,0.5,1.3,1.8,11.0
114,Tim Duncan,C,37,SAS,48,48,29.4,6.2,12.5,.493,0.0,0.1,.000,6.2,12.5,.495,3.0,4.3,.700,2.2,7.9,10.0,2.9,0.5,2.1,2.2,1.7,15.4
115,Khris Middleton,SF,22,MIL,51,33,29.3,4.4,9.8,.445,1.4,3.2,.429,3.0,6.6,.453,1.4,1.6,.821,0.7,3.4,4.1,2.0,1.1,0.3,1.5,2.8,11.5
116,Paul Pierce,SF,36,BRK,44,37,29.1,4.1,9.8,.421,1.3,3.8,.339,2.8,6.0,.472,3.7,4.4,.839,0.4,4.3,4.8,2.9,1.1,0.5,2.2,2.4,13.2
117,Kirk Hinrich,PG,33,CHI,42,30,29.1,2.9,8.0,.364,1.0,3.3,.292,2.0,4.7,.414,1.5,1.9,.808,0.5,2.3,2.7,4.4,1.1,0.4,1.8,3.0,8.3
118,Harrison Barnes,SF,21,GSW,48,16,29.1,3.8,9.2,.415,0.9,2.2,.402,2.9,7.0,.420,1.8,2.4,.733,0.8,3.3,4.1,1.4,0.9,0.2,1.2,2.1,10.3
119,Mario Chalmers,PG,27,MIA,44,44,28.9,3.3,7.2,.464,1.2,3.0,.388,2.2,4.2,.519,1.8,2.4,.755,0.5,2.2,2.7,5.0,1.7,0.3,2.3,2.9,9.7
120,J.J. Redick,SG,29,LAC,30,30,28.8,5.4,11.7,.459,2.1,5.3,.396,3.3,6.4,.510,2.8,3.1,.914,0.3,1.8,2.1,2.2,0.8,0.1,1.2,1.9,15.7
121,Nick Young,SG,28,LAL,48,9,28.8,5.7,13.6,.419,1.7,4.8,.349,4.0,8.8,.457,3.8,4.6,.833,0.5,2.2,2.7,1.5,0.6,0.2,1.6,2.5,16.9
122,Channing Frye,PF,30,PHO,51,51,28.7,4.5,10.1,.449,2.2,5.5,.399,2.3,4.6,.509,1.0,1.2,.794,0.9,4.3,5.2,1.2,0.8,0.8,1.1,3.0,12.3
123,Dion Waiters,SG,22,CLE,47,9,28.6,5.5,13.2,.416,1.2,3.2,.362,4.3,10.0,.434,2.3,3.3,.688,0.5,2.4,2.9,2.7,0.9,0.2,2.3,2.2,14.4
124,Kawhi Leonard,SF,22,SAS,41,40,28.6,4.9,9.4,.517,0.8,2.5,.327,4.0,6.9,.585,1.1,1.5,.738,1.3,4.8,6.1,1.8,1.7,0.5,1.2,2.0,11.6
125,Amir Johnson,PF,26,TOR,50,47,28.6,4.4,8.0,.542,0.3,1.0,.260,4.1,7.0,.582,1.4,1.9,.716,2.4,4.3,6.7,1.2,0.6,1.1,1.6,3.6,10.3
126,Tyson Chandler,C,31,NYK,27,27,28.3,3.3,5.3,.611,0.0,0.0,,3.3,5.3,.611,1.8,2.9,.608,2.8,5.9,8.7,1.1,0.7,1.4,1.1,2.6,8.3
